Range	Pass	Genotype
1	1	PHW30
1	2	B73/PHW30-141 - (2n)-01
1	3	Mo17
1	4	PHW30/B73-078 - (2n)-01
1	5	Mo17/PHW30-235 - (2n)-02
1	6	Mo17/PHW30-455 - (2n)-01
1	7	PHW30/B73-060 - (2n)-02
1	8	PHW30/Mo17-252 - (2n)-01
1	9	B73/PHW30-036 - (2n)-01
1	10	Mo17/PHW30-292 - (2n)-01
1	11	Mo17/PHW30-314 - (2n)-01
1	12	Mo17/PHW30-456 - (2n)-01
1	13	Mo17/PHW30-080 - (2n)-02
1	14	PHW30/B73-097 - (2n)-01
1	15	Mo17/PHW30-275 - (2n)-02
1	16	PHW30/B73-015 - (2n)-02
1	17	PHW30/Mo17-107 - (2n)-02
1	18	PHW30/Mo17-049 - (2n)-02
1	19	PHW30/Mo17-187 - (2n)-02
1	20	Mo17/PHW30-430 - (2n)-01
1	21	Mo17/PHW30-160 - (2n)-01
1	22	B73
1	23	B73/PHW30-368 - (2n)-02
1	24	Mo17/PHW30-454 - (2n)-01
1	25	PHW30/Mo17-155 - (2n)-02
1	26	PHW30/B73-045 - (2n)-01
1	27	Mo17/PHW30-133 - (2n)-02
1	28	PHW30/Mo17-113 - (2n)-02
1	29	Mo17/PHW30-148 - (2n)-02
1	30	Mo17/PHW30-081 - (2n)-01
1	31	B73/PHW30-385 - (2n)-03
1	32	PHW30/Mo17-242 - (2n)-01
2	1	B73/PHW30-252 - (2n)-01
2	2	PHW30/B73-221 - (2n)-01
2	3	PHW30/Mo17-194 - (2n)-01
2	4	Mo17/PHW30-409 - (2n)-01
2	5	B73/PHW30-102 - (2n)-01
2	6	PHW30/Mo17-315 - (2n)-01
2	7	PHW30/B73-355 - (2n)-01
2	8	PHW30
2	9	PHW30/Mo17-051 - (2n)-02
2	10	Mo17
2	11	Mo17/PHW30-254 - (2n)-01
2	12	PHW30/B73-421 - (2n)-03
2	13	Mo17/PHW30-121 - (2n)-03
2	14	B73
2	15	B73/PHW30-186 - (2n)-02
2	16	PHW30/Mo17-026 - (2n)-02
2	17	Mo17/PHW30-430 - (2n)-02
2	18	PHW30/B73-009 - (2n)-01
2	19	PHW30/Mo17-178 - (2n)-02
2	20	Mo17/PHW30-126 - (2n)-01
2	21	PHW30/Mo17-026 - (2n)-01
2	22	PHW30/B73-326 - (2n)-01
2	23	Mo17/PHW30-080 - (2n)-01
2	24	PHW30/B73-401 - (2n)-02
2	25	PHW30/Mo17-166 - (2n)-01
2	26	PHW30/B73-324 - (2n)-01
2	27	PHW30/Mo17-028 - (2n)-02
2	28	Mo17/PHW30-429 - (2n)-01
2	29	B73/PHW30-186 - (2n)-01
2	30	PHW30/Mo17-234 - (2n)-01
2	31	PHW30/B73-241 - (2n)-02
2	32	B73/PHW30-068 - (2n)-01
3	1	PHW30/Mo17-050 - (2n)-02
3	2	PHW30/Mo17-136 - (2n)-02
3	3	PHW30/Mo17-278 - (2n)-01
3	4	B73/PHW30-064 - (2n)-01
3	5	Mo17/PHW30-341 - (2n)-02
3	6	B73/PHW30-152 - (2n)-01
3	7	Mo17/PHW30-084 - (2n)-02
3	8	Mo17
3	9	Mo17/PHW30-248 - (2n)-01
3	10	PHW30/Mo17-298 - (2n)-01
3	11	PHW30/Mo17-085 - (2n)-01
3	12	PHW30/Mo17-061 - (2n)-02
3	13	PHW30/Mo17-107 - (2n)-01
3	14	Mo17/PHW30-309 - (2n)-01
3	15	PHW30/B73-349 - (2n)-01
3	16	PHW30/B73-434 - (2n)-02
3	17	PHW30/B73-169 - (2n)-02
3	18	Mo17/PHW30-075 - (2n)-02
3	19	PHW30/B73-015 - (2n)-01
3	20	PHW30/B73-002 - (2n)-01
3	21	PHW30/Mo17-160 - (2n)-01
3	22	B73/PHW30-385 - (2n)-01
3	23	PHW30/B73-351 - (2n)-02
3	24	PHW30/Mo17-297 - (2n)-01
3	25	Mo17/PHW30-184 - (2n)-01
3	26	PHW30
3	27	PHW30/Mo17-195 - (2n)-02
3	28	B73
3	29	PHW30/B73-169 - (2n)-01
3	30	Mo17/PHW30-153 - (2n)-04
3	31	PHW30/B73-341 - (2n)-01
3	32	Mo17/PHW30-008 - (2n)-02
4	1	PHW30/B73-421 - (2n)-01
4	2	B73/PHW30-368 - (2n)-01
4	3	B73/PHW30-100 - (2n)-02
4	4	B73/PHW30-288 - (2n)-02
4	5	B73/PHW30-258 - (2n)-02
4	6	B73/PHW30-063 - (2n)-01
4	7	PHW30/B73-184 - (2n)-02
4	8	B73/PHW30-211 - (2n)-03
4	9	Mo17/PHW30-324 - (2n)-01
4	10	PHW30/Mo17-141 - (2n)-01
4	11	B73/PHW30-392 - (2n)-01
4	12	B73/PHW30-409 - (2n)-02
4	13	Mo17/PHW30-309 - (2n)-02
4	14	B73/PHW30-166 - (2n)-01
4	15	PHW30/Mo17-299 - (2n)-01
4	16	PHW30/Mo17-179 - (2n)-01
4	17	B73/PHW30-256 - (2n)-01
4	18	PHW30/Mo17-037 - (2n)-01
4	19	Mo17/PHW30-133 - (2n)-01
4	20	PHW30/Mo17-308 - (2n)-02
4	21	PHW30
4	22	B73/PHW30-036 - (2n)-02
4	23	B73
4	24	B73/PHW30-302 - (2n)-01
4	25	PHW30/B73-390 - (2n)-01
4	26	Mo17/PHW30-009 - (2n)-01
4	27	PHW30/Mo17-308 - (2n)-01
4	28	PHW30/B73-232 - (2n)-01
4	29	Mo17/PHW30-016 - (2n)-02
4	30	PHW30/Mo17-010 - (2n)-01
4	31	Mo17/PHW30-126 - (2n)-02
4	32	Mo17
5	1	PHW30/B73-401 - (2n)-01
5	2	PHW30/B73-372 - (2n)-02
5	3	PHW30/Mo17-252 - (2n)-02
5	4	PHW30/B73-433 - (2n)-01
5	5	PHW30/Mo17-049 - (2n)-01
5	6	PHW30/Mo17-088 - (2n)-01
5	7	PHW30/Mo17-187 - (2n)-01
5	8	PHW30/Mo17-299 - (2n)-02
5	9	PHW30/B73-078 - (2n)-02
5	10	PHW30/Mo17-157 - (2n)-01
5	11	PHW30/Mo17-089 - (2n)-02
5	12	Mo17
5	13	B73/PHW30-097 - (2n)-01
5	14	PHW30/Mo17-155 - (2n)-01
5	15	PHW30/Mo17-139 - (2n)-01
5	16	PHW30/Mo17-032 - (2n)-02
5	17	Mo17/PHW30-279 - (2n)-02
5	18	B73/PHW30-237 - (2n)-01
5	19	PHW30
5	20	Mo17/PHW30-454 - (2n)-02
5	21	PHW30/B73-311 - (2n)-01
5	22	PHW30/Mo17-095 - (2n)-01
5	23	PHW30/B73-287 - (2n)-02
5	24	Mo17/PHW30-217 - (2n)-02
5	25	Mo17/PHW30-231 - (2n)-03
5	26	PHW30/B73-097 - (2n)-02
5	27	PHW30/Mo17-033 - (2n)-01
5	28	PHW30/Mo17-161 - (2n)-01
5	29	B73
5	30	Mo17/PHW30-089 - (2n)-01
5	31	PHW30/Mo17-129 - (2n)-02
5	32	PHW30/B73-269 - (2n)-01
6	1	PHW30/Mo17-129 - (2n)-01
6	2	PHW30/B73-121 - (2n)-01
6	3	PHW30/Mo17-051 - (2n)-01
6	4	PHW30/B73-289 - (2n)-02
6	5	PHW30/Mo17-304 - (2n)-02
6	6	Mo17/PHW30-217 - (2n)-01
6	7	Mo17
6	8	PHW30/Mo17-064 - (2n)-01
6	9	PHW30/Mo17-165 - (2n)-02
6	10	PHW30/Mo17-054 - (2n)-02
6	11	Mo17/PHW30-389 - (2n)-03
6	12	PHW30/Mo17-101 - (2n)-02
6	13	PHW30
6	14	Mo17/PHW30-262 - (2n)-01
6	15	PHW30/Mo17-136 - (2n)-01
6	16	B73/PHW30-063 - (2n)-02
6	17	PHW30/B73-055 - (2n)-01
6	18	PHW30/Mo17-160 - (2n)-02
6	19	PHW30/B73-221 - (2n)-02
6	20	B73
6	21	PHW30/Mo17-266 - (2n)-01
6	22	Mo17/PHW30-109 - (2n)-01
6	23	B73/PHW30-154 - (2n)-01
6	24	PHW30/Mo17-101 - (2n)-01
6	25	B73/PHW30-098 - (2n)-01
6	26	Mo17/PHW30-456 - (2n)-02
6	27	B73/PHW30-092 - (2n)-01
6	28	B73/PHW30-201 - (2n)-01
